player_name,team,position,2025,last30
Rafael Flores,PIT,C/1B,-7.512681730546191,
Blake Sabol,CHW,C/DH,-7.517356410792852,
Anthony Santander,TOR,OF/DH,-7.5756813339642335,
Drew Romo,COL,C/DH,-7.584850658661534,
C.J. Stubbs,WSN,C,-7.584850658661534,
Ali Sanchez,BOS,C,-7.584867387587721,
Aramis Garcia,ARI,C,-7.64192492181561,
Justin Turner,CHC,1B/3B/DH,-7.705980106004663,
Austin Nola,,C/1B,-7.727539865455652,
Will Banfield,CIN,C,-7.810128778285597,
Victor Robles,SEA,OF,-7.8362157566470625,
Ryan Fitzgerald,MIN,1B/2B/3B/SS,-7.866797908257707,
Liover Peguero,PIT,1B/2B/SS,-7.891838871384319,
Luis Campusano,SDP,C,-7.9091826396324905,
Jimmy Crooks,STL,C/DH,-7.99107100369025,
Gustavo Campero,LAA,OF,-8.05043073539401,
Jac Caglianone,KCR,OF,-8.095589855281373,
Warming Bernabel,COL,1B,-8.131069090525216,
Heston Kjerstad,BAL,OF,-8.150959137946694,
Nick Loftin,KCR,2B/3B/OF,-8.152008516741493,
Oswaldo Cabrera,NYY,3B,-8.155075308852274,
Alex Verdugo,,OF,-8.176599262037394,
Marcelo Mayer,BOS,3B,-8.208102150209335,
Nacho Alvarez Jr.,ATL,3B,-8.223179473617536,
Matt Mervis,ARI,1B/DH,-8.24476711650843,
Donovan Solano,TEX,1B/3B/DH,-8.255382997821483,
LaMonte Wade Jr.,,1B/OF,-8.271106359256004,
Maverick Handley,BAL,C,-8.274390136722607,
Jon Berti,,3B,-8.320169294608135,
Thairo Estrada,COL,2B,-8.334618041172547,
Jorge Mateo,BAL,2B,-8.378511480185168,
Sal Stewart,CIN,1B/3B,-8.426292008963744,
Kyle Karros,COL,3B,-8.440355346197116,
Vidal Brujan,ATL,2B/3B/SS/OF,-8.476490351449357,
Jonatan Clase,TOR,OF,-8.487362498915543,
Griffin Conine,MIA,OF,-8.501325289950216,
Jonny DeLuca,TBR,OF,-8.505083411087055,
Jacob Stallings,BAL,C,-8.511832733450714,
Carson Williams,TBR,SS,-8.514241153520784,
James Outman,MIN,OF,-8.515541032983565,
Lane Thomas,CLE,OF,-8.606698249978466,
Ildemaro Vargas,ARI,2B/3B,-8.670142180611109,
Christian Encarnacion-Strand,CIN,1B,-8.673885667752705,
Drew Gilbert,SFG,OF,-8.722320670942468,
DJ LeMahieu,,1B/2B/3B,-8.732133283342558,
Blaine Crim,COL,1B/DH,-8.781127307515577,
Cooper Hummel,TBR,OF,-8.793981022837775,
Joey Wiemer,MIA,OF,-8.812905352900772,
Santiago Espinal,CIN,2B/3B/OF,-8.8649280231245,
DaShawn Keirsey Jr.,MIN,OF,-8.888939741987642,
Yanquiel Fernandez,COL,OF/DH,-8.915549505780032,
Bryce Teodosio,LAA,OF,-8.942393388465895,
Blake Dunn,CIN,OF,-8.943055297865676,
Jesse Winker,NYM,OF/DH,-8.989649758418244,
Michael Massey,KCR,2B,-9.00371890712032,
Tristan Gray,TBR,1B/2B/3B/SS,-9.00809761331955,
Joshua Palacios,CHW,OF,-9.04537560736155,
Sam Hilliard,COL,OF,-9.060007746317522,
Alan Roden,MIN,OF,-9.10755640149741,
Jacob Melton,HOU,OF,-9.111556897372257,
Matthew Lugo,LAA,OF,-9.155915192547521,
Richie Palacios,TBR,2B/OF,-9.167591546248682,
Maximo Acosta,MIA,2B/3B/SS,-9.195058799796964,
Zack Short,HOU,3B/SS,-9.243317634857387,
Matt Vierling,DET,3B/OF,-9.273960776271945,
Brett Harris,OAK,3B,-9.333997681280712,
Chas McCormick,HOU,OF,-9.3524338651052,
Edouard Julien,MIN,1B/2B,-9.361824904428468,
George Valera,CLE,OF/DH,-9.451811320543792,
Cody Freeman,TEX,2B,-9.473012355053024,
Gio Urshela,,1B/3B,-9.47903119837438,
Ronny Simon,PIT,2B/SS/OF/DH,-9.495223541447919,
Jhonkensy Noel,CLE,OF,-9.518092204873401,
Brett Wisely,ATL,2B/SS,-9.57098076378189,
Nick Sogard,BOS,2B,-9.590423931083262,
Jose Fermin,STL,2B,-9.601288540746312,
Johnathan Rodriguez,CLE,OF,-9.610553315299939,
Tyler Locklear,ARI,1B,-9.650354402456358,
Nathan Church,STL,OF,-9.656604774660668,
Chris Taylor,LAA,2B/3B/OF,-9.716560090775344,
Daniel Johnson,BAL,OF,-9.755025360245078,
Will Wagner,SDP,2B/3B,-9.76051114119773,
Luke Williams,ATL,SS,-9.766181347272257,
