player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,closermonkey tier,Stuff+,Location+,Pitching+
Jeff McNeil,NYM,2B/OF/,2.9042374370884465,-3.1389958383516943,-1.9758249724244767,,FA,2.9042374370884465,-0.7368611245625748,,,,,,
Rowdy Tellez,SEA,1B/,-6.939118281319233,-7.180938098876123,-5.448863405333638,2.814325050398645,W (Fri),2.814325050398645,-4.188648683782588,,,,,,
Johan Rojas,PHI,OF/,-3.223466855593337,-5.811110783701261,-2.8207285775520927,2.405787987377723,FA,2.405787987377723,-2.362379557367242,,,,,,
Jalen Beeks,ARI,RP/,-4.690406535971941,-3.921650654814311,-6.371212050402614,2.3937692089041267,FA,2.3937692089041267,-3.1473750080711853,,,,102.14932692307696,111.0678846153846,109.89740384615384
Tyrone Taylor,NYM,OF/,-1.080081037068532,0.6592243551088717,2.362505469427793,-6.169499068202905,FA,2.362505469427793,-1.056962570183693,,,,,,
Jordan Hicks,SFG,SP/,-1.6951503662262906,2.1012215151517797,2.248900678309945,,W (Fri),2.248900678309945,0.884990609078478,97.0,,,111.19260465116275,96.0733023255814,108.28586046511629
Bailey Falter,PIT,SP/,-4.8006794502503105,-5.137483763659619,-6.621988729281674,1.851186091195245,FA,1.851186091195245,-3.6772414629990893,,,,93.40416040100251,99.93137844611527,96.03393483709274
Luis Torrens,NYM,C/,-3.985715204166042,-2.6414017556146416,-1.3724679124812145,1.850696795045152,FA,1.850696795045152,-1.5372220193041866,,,,,,
Dane Myers,MIA,OF/,-6.975534929302153,-5.549962058484543,-6.75194381757695,1.8487199320106154,FA,1.8487199320106154,-4.357180218338257,,,,,,
Thomas Saggese,STL,2B/3B/SS/,-11.964312905591747,-11.809098258314856,-13.369026491875182,1.6119178925721456,FA,1.6119178925721456,-8.88262994080241,,,,,,
Carlos Narvaez,BOS,C/,-6.458504364769509,-4.6963521965043284,-4.649210305132194,1.6069688214004327,FA,1.6069688214004327,-3.5492745112514,,,,,,
Alex Cobb,DET,SP/,1.4245910282882277,-0.2572840065887785,0.10017388231405433,,FA,1.4245910282882277,0.42249363467116785,138.0,,,,,
Tim Herrin,CLE,RP/,-2.1851856614911798,0.10980267872224014,-3.4709746087590343,1.347997639948443,FA,1.347997639948443,-1.0495899878948827,,,,100.14857142857144,101.79071428571427,98.38085714285712
Jacob Young,WSN,OF/,1.294908821477398,-2.679683033670384,-2.749306415059634,-4.304545641565115,FA,1.294908821477398,-2.109656567204434,,,,,,
Steven Okert,HOU,RP/,-5.7685438354148495,-2.779718217349611,-3.9927553496172257,1.2402560753115794,FA,1.2402560753115794,-2.825190331767527,,,,114.6390666666667,106.24693333333332,116.86013333333332
Kyle Hart,SDP,SP/,-6.803948001280796,,-7.50966137943402,1.1061381338109622,TWN,1.1061381338109622,-4.402490415634618,159.0,,,95.44118081180812,96.44619926199262,92.02376383763838
Nick Martinez,CIN,SP/,-3.0429934358824307,-0.3104611470640013,1.0650955044586512,,W (Fri),1.0650955044586512,-0.7627863594959269,116.0,,,93.09958236658932,109.6862645011601,105.3369373549884
Kyle Leahy,STL,RP/,-6.3937949601188695,-5.273098169077693,-7.982587630390636,1.0,FA,1.0,-4.6623701898968,,,,101.60560747663548,110.80813084112152,113.64149532710285
Aaron Civale,MIL,SP/,-0.5724305592190144,1.0,0.8266682483098833,,TWN,1.0,0.41807922969695627,79.0,,,98.29235294117646,99.87441176470588,88.86941176470589
Myles Straw,TOR,OF/,-18.230514312092783,-18.10809172523456,-17.852134684202348,1.0,FA,1.0,-13.297685180382421,,,,,,
Matt Thaiss,CHW,C/,-8.834734254604276,-8.042185383502934,-7.339489282514574,1.0,FA,1.0,-5.804102230155446,,,,,,
Brayan Rocchio,CLE,SS/,1.0,-1.3882379034940446,-2.2643822440828374,-2.1690202458695627,FA,1.0,-1.2054100983616112,,,,,,
Jake Bauers,MIL,1B/,-17.40143562369781,-13.863317828298642,-15.074617229371011,0.7275986523873881,FA,0.7275986523873881,-11.402943007245021,,,,54.19407407407408,93.8837037037037,35.75851851851852
Alex Vesia,LAD,RP/,-1.7777669580202602,0.6838642036325522,-0.13965683431645637,-5.276936811259582,FA,0.6838642036325522,-1.6276240999909366,,,,121.0649,96.7487,111.272
A.J. Minter,NYM,RP/,-0.37984762652457404,0.5973878496293096,-0.2211049615199734,-4.419525628933214,FA,0.5973878496293096,-1.105772591837113,,,,107.79836477987422,93.6966037735849,101.69723270440252
Ryan Feltner,COL,SP/,-12.420245117109907,-15.91811400033519,-10.391061295239256,0.5418779230995461,FA,0.5418779230995461,-9.546885622396202,,,,88.20062500000002,94.52980769230771,84.13865384615382
Austin Hedges,CLE,C/,-8.572809113347569,-8.37953073569999,-6.913288141692477,0.4483079261471876,FA,0.4483079261471876,-5.854330016148213,,,,,,
Keegan Akin,BAL,RP/,0.43941287449667343,-1.0283075114055644,-0.9224693296747175,-9.880698777826119,FA,0.43941287449667343,-2.848015686102432,,,,102.5676923076923,99.13100591715975,97.19928994082844
Jon Gray,TEX,SP/,-1.0654435960769693,-0.2454029264300719,0.4203790096817436,,FA,0.4203790096817436,-0.2968225042750992,162.0,,,,,
Miles Mikolas,STL,SP/,0.39450064678515495,-3.4321253840882227,-2.808270467013344,-8.063305347964537,FA,0.39450064678515495,-3.477300138070237,,,,89.17041533546325,110.1196166134185,97.65450479233228
Yohel Pozo,STL,C/,-10.393587779990607,-9.950920332446858,-8.944386074197315,0.3922600650222102,FA,0.3922600650222102,-7.224158530403143,,,,,,
Eric Haase,MIL,C/,-7.351044025619581,-7.341961417918418,-4.963435985238877,0.39028320198767064,FA,0.39028320198767064,-4.816539556697301,,,,,,
Tim Hill,NYY,RP/,-8.815052421530673,-4.609129630807842,-7.478409186487827,0.3382667710402195,FA,0.3382667710402195,-5.1410811169465305,,,,116.96546762589928,100.87899280575542,110.13352517985612
Dean Kremer,BAL,SP/,-2.7826650650424836,-3.5374640297345774,0.33438490224126216,-5.1406334723565985,W (Fri),0.33438490224126216,-2.781594416223099,112.0,,,96.49898383371824,102.88050808314088,99.25963048498843
Lake Bachar,MIA,RP/,-8.636872618546088,-5.887710602359611,-7.589106661036338,0.2515938831847987,FA,0.2515938831847987,-5.465523999689309,,,,98.74285714285716,99.7471921182266,99.25182266009854
Matt Brash,SEA,RP/,0.15186243844536274,,-0.6500215300101415,,FA,0.15186243844536274,-0.2490795457823894,,,,,,
Ryne Nelson,ARI,SP/,-0.5233131071142654,0.09589691789487764,-3.129705432297375,,FA,0.09589691789487764,-1.1857072071722543,158.0,,,106.1195652173913,97.1016304347826,103.38771739130436
Davis Martin,CHW,SP/,-7.648428698070905,-13.545236595630467,-1.7663093387707693,0.05379149717550025,FA,0.05379149717550025,-5.72654578382416,121.0,,,96.09865470852016,99.50565022421522,96.84529147982062
Justyn-Henry Malloy,DET,OF/DH/,-16.678009673462633,-17.446687947232647,-17.12409981028309,-0.05274906439699123,FA,-0.05274906439699123,-12.82538662384384,,,,,,
Kenta Maeda,DET,SP/RP/,-0.07010987109554478,-2.1301546641876055,-2.46061832484781,,FA,-0.07010987109554478,-1.5536276200436534,171.0,,,92.15458646616544,87.59819548872181,84.56406015037592
Slade Cecconi,CLE,SP/RP/,-2.4968930471546797,-0.0753850825058866,-2.200537737692878,,FA,-0.0753850825058866,-1.5909386224511481,150.0,,,,,
Jakob Junis,CLE,SP/RP/,-0.09931442241276445,-2.6794423595848254,-0.967013476814748,,FA,-0.09931442241276445,-1.2485900862707793,,,,90.6315606936416,113.11595375722544,104.7598843930636
Valente Bellozo,MIA,SP/,-7.903893580337124,-3.8921286554320327,-8.590494251644042,-0.12061292743470298,FA,-0.12061292743470298,-5.126782353711976,,,,85.4381990521327,80.81810426540284,63.9570616113744
Kyle Wright,KCR,SP/,-3.050255528556086,-2.9578669488926006,-0.12450271759225195,,FA,-0.12450271759225195,-2.0442083983469796,,,,,,
Justin Lawrence,PIT,RP/,-6.898735645968228,-5.226736356033598,-6.254324754966496,-0.28692759698897374,FA,-0.28692759698897374,-4.666681088489324,,,,105.00511627906975,91.993488372093,92.62697674418602
Blake Dunn,CIN,OF/,-11.22127393143563,-9.655999948010914,-10.326914367543617,-0.3049663733505925,FA,-0.3049663733505925,-7.877288655085187,,,,,,
Matt Vierling,DET,3B/OF/,-2.0849962191876594,-0.34775930166964075,-3.319890008332658,,TWN,-0.34775930166964075,-1.9175485097299863,,,,,,
