player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+
Tim Hill,NYY,RP/,-9.493647481451198,-5.354180685380067,-7.373743009034676,-2.8185244955490036,FA,-2.8185244955490036,-6.260023917853736,,,118.85533742331287,100.93460122699383,112.37840490797544,120.52854700854702,99.25337995337996,111.08859362859364
Javier Assad,CHC,SP/,-5.6234267643775935,-2.819243649710927,-5.0708816910866075,,FA,-2.819243649710927,-4.50451736839171,,,,,,,,
Matt Thaiss,TBR,C/,-4.774317379602543,-3.651271840566473,-2.8350939943464586,-4.369154467443887,FA,-2.8350939943464586,-3.9074594204898405,,,,,,,,
Ryan Brasier,CHC,RP/,-5.256199699160886,-2.873907922289565,-4.055672037812805,,FA,-2.873907922289565,-4.061926553087752,,,92.8780198019802,95.6449504950495,91.22099009900992,94.1650704225352,89.45943661971832,85.97014084507042
Trevor Williams,WSN,SP/,-3.0012259815030395,-4.170418744085929,-10.945877078968564,-8.99152512122138,FA,-3.0012259815030395,-6.777261731444728,,,94.65678756476684,104.45508808290155,100.51025906735748,93.3819570405728,105.45002386634845,99.287446300716
Ryan Zeferjahn,LAA,RP/,-6.950880595897608,-3.0061935988821604,-3.2204937735937307,-6.786210702864345,FA,-3.0061935988821604,-4.990944667809461,,,121.7526491646778,87.7150835322196,105.30415274463007,120.1930305095408,83.41992896833717,99.33934262948208
Alec Marsh,KCR,SP/,-4.097274799827026,-3.3193443867712373,-3.07186897457881,,FA,-3.07186897457881,-3.4961627203923578,,,,,,,,
Eduard Bazardo,SEA,RP/,-6.4234843274116145,,-3.0740619975894017,-8.840537074761393,FA,-3.0740619975894017,-6.11269446658747,,,100.95648760330582,103.39950413223144,100.1559917355372,103.79401960784313,106.53460784313728,103.19254901960784
Gregory Soto,BAL,RP/,-3.1085884939766153,-4.737019792408949,-3.371483293391914,-11.859559498903185,FA,-3.1085884939766153,-5.7691627696701655,,,113.7944072948328,91.62607902735564,102.91884498480243,110.93093749999998,93.36906249999998,102.8609375
Steven Wilson,CHW,RP/,-9.405147439989788,-3.120094335796919,-5.607214985756324,-5.490128880724063,FA,-3.120094335796919,-5.905646410566774,,,98.824,101.23171428571428,106.65928571428572,99.42880328710837,102.9321828454032,108.0884745762712
Tobias Myers,MIL,SP/,-5.157107641861182,-3.2048441748095806,-5.745704908039324,-5.453019768624903,FA,-3.2048441748095806,-4.890169123333747,,,89.01163043478262,96.97554347826087,87.90733695652175,90.13637130801688,106.12109704641352,97.84143459915612
Caleb Thielbar,CHC,RP/,-4.7747982477628526,-3.470733955654125,-3.8099192582685992,-3.210054462351481,FA,-3.210054462351481,-3.816376481009265,,,112.17515527950307,91.2814285714286,101.19608695652173,111.48821160016456,95.0199999451529,105.24754723707665
Alex Call,WSN,OF/,-10.663782951152813,-10.052762603383762,-11.707799000536404,-3.2151998514239377,FA,-3.2151998514239377,-8.90988610162423,,,,,,,,
Matt Svanson,STL,RP/,-9.152936434512869,-3.235872352375143,-9.140002606655322,,FA,-3.235872352375143,-7.176270464514445,,,105.77647798742136,104.96000000000002,106.41584905660376,102.9726,95.68540000000002,93.17119999999998
Javier Sanoja,MIA,2B/OF/,-14.580163316519045,-8.580468417883479,-12.3970837975619,-3.2463263752763485,W <small>(Fri)</small>,-3.2463263752763485,-9.701010476810191,,,56.27268722466961,100.03118942731278,62.47621145374449,47.56,104.12,58.36
Cooper Criswell,BOS,SP/RP/,-4.239881276695485,-3.2814496295311537,-5.398885570833331,,FA,-3.2814496295311537,-4.306738825686657,,,107.54208333333332,110.0777083333333,112.90916666666664,,,
