player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+,Events,EV,maxEV,Barrel%,HardHit%,wOBA,xwOBA
Billy Cook,PIT,1B/OF/,-22.170198700818073,-21.633904856138383,-19.175709347178994,-12.990832881700523,FA,-12.990832881700523,-18.992661446458992,,,,,,,,,3.0,80.51559956868489,99.4468,0.0,0.33333333,0.22206152975559235,0.287
Cal Stevenson,PHI,OF/,-24.97330705024043,-23.889867677382473,-20.667425819222743,-13.023721083929287,FA,-13.023721083929287,-20.638580407693734,,,,,,,,,6.0,86.7509053548177,97.8551,0.0,0.16666667,0.22206152975559235,0.154
Victor Mesa Jr.,MIA,OF/,-22.97039539867685,-22.201758252411647,-19.302399329528605,-13.036412010126488,FA,-13.036412010126488,-19.377741247685893,,,,,,,,,7.0,89.2340799967448,104.797,0.0,0.28571429,0.25279056363635594,0.266
Drew Avans,MIL,OF/,-25.375520709449827,-24.41058107958807,-21.13738952507772,-13.159899029685095,FA,-13.159899029685095,-21.02084758595018,,,,,,,,,,,,,,,
Donovan Solano,SEA,1B/3B/DH/,-18.823943416734586,-18.66871229705709,-17.833351703440904,-13.161708046814578,FA,-13.161708046814578,-17.12192886601179,,,,,,,,,68.0,86.9553581686581,105.946,0.05882353,0.38235294,0.2208873070392412,0.262
Owen Miller,COL,1B/2B/3B/DH/,-28.176495952851152,,,-13.165699480659562,FA,-13.165699480659562,-20.671097716755355,,,,,,,,,10.0,76.66229248046875,106.706,0.0,0.2,0.22871864192626057,0.269
Scott Kingery,LAA,2B/OF/,-27.223562820150548,-23.91411841219532,-21.777871369688565,-13.199155067901286,FA,-13.199155067901286,-21.52867691748393,,,,,,,,,13.0,83.5823262532552,102.05,0.07692308,0.30769231,0.1697830774567344,0.192
Andruw Monasterio,MIL,2B/3B/,-19.368997590044767,-16.261202759859287,-15.72259509649237,-13.202594880710116,FA,-13.202594880710116,-16.138847581776638,,,,,,,,,18.0,85.15016004774306,98.5704,0.0,0.16666667,0.2591422200202942,0.3
Tyler Callihan,CIN,2B/OF/,-27.700848191240993,-24.27363906091324,-22.237777591515393,-13.244443090836418,FA,-13.244443090836418,-21.86417698362651,,,,,,,,,5.0,89.7899658203125,100.182,0.0,0.6,0.14804101983706155,0.183
Jacob Hurtubise,SEA,OF/,-25.886786258379622,-24.83997701856055,-21.833421874175134,-13.254213939345915,FA,-13.254213939345915,-21.453599772615306,,,,,,,,,,,,,,,
Coco Montes,TBR,2B/3B/OF/,-27.403254098021446,-24.19071288151965,-22.10454034508797,-13.262327378594177,FA,-13.262327378594177,-21.74020867580581,,,,,,,,,7.0,90.26239013671875,105.224,0.0,0.42857143,0.17764922380447387,0.251
Trey Lipscomb,WSN,3B/,-25.871931986896023,-24.986682086303382,-22.058166028509973,-13.266597049507768,FA,-13.266597049507768,-21.545844287804286,,,,,,,,,3.0,90.8302714029948,109.883,0.0,0.33333333,0.4441230595111847,0.14
Ryan Fitzgerald,MIN,2B/,-28.018645857737816,-24.685434830587706,-22.271309841925802,-13.31267020347539,FA,-13.31267020347539,-22.072015183431677,,,,,,,,,3.0,93.5255126953125,99.7962,0.0,0.33333333,0.0,0.068
Logan Davidson,ATH,1B/2B/3B/DH/,-26.99536910785454,-23.88404459424701,-21.971303098660524,-13.356366008732865,FA,-13.356366008732865,-21.551770702373734,,,,,,,,,9.0,83.9156265258789,105.295,0.0,0.33333333,0.22269985468491263,0.195
