name,drafted,fantasypros_rk,fantasypros_rk_top10,nffc_adp,primetime_adp,fantasypros_tier,fantasypros_pos_rank,Note
jalen mcmillan,,244,294.0,235.87,237.55,11,WR88,
roman wilson,,245,230.0,233.87,236.0,11,WR89,
brashard smith,,246,257.0,211.9,183.38,11,RB72,
elijah arroyo,,247,244.0,241.83,234.31,12,TE30,
isaac teslaa,,248,202.0,170.93,150.93,12,WR90,
jalen royals,,249,250.0,251.66,233.38,12,WR91,
miles sanders,,250,286.0,237.11,227.41,12,RB73,
matt gay,,251,234.0,,,12,K12,
marshawn lloyd,,252,298.0,247.75,237.72,12,RB74,
younghoe koo,,253,249.0,,,12,K13,
malik washington,,254,242.0,232.22,202.0,12,WR92,
devaughn vele,,255,275.0,254.19,238.34,12,WR93,
jaleel mclaughlin,,256,318.0,250.33,239.97,12,RB75,
harold fannin,,257,229.0,238.86,228.52,12,TE31,
cole kmet,,258,260.0,242.84,240.59,12,TE32,
joe flacco,,259,266.0,234.16,240.69,12,QB31,
theo johnson,,260,235.0,236.92,232.0,12,TE33,
tampa bay buccaneers,,261,267.0,230.34,227.24,12,DST16,
tampa bay buccaneers,,261,267.0,230.34,239.41,12,DST16,
tampa bay buccaneers,,261,267.0,238.63,227.24,12,DST16,
tampa bay buccaneers,,261,267.0,238.63,239.41,12,DST16,
anthony richardson,,262,255.0,238.08,,12,QB32,
amari cooper,,263,238.0,200.29,197.59,12,WR94,
brandin cooks,,264,311.0,253.08,,12,WR95,
jarquez hunter,,265,272.0,228.46,208.97,12,RB76,
kayshon boutte,,266,264.0,250.49,233.07,12,WR96,
kenneth gainwell,,267,290.0,251.66,238.79,12,RB77,
sean tucker,,268,277.0,222.1,191.03,12,RB78,
jalen tolbert,,269,312.0,244.17,237.28,12,WR97,
raheem mostert,,270,297.0,235.53,230.0,12,RB79,
elijah moore,,271,300.0,254.55,,12,WR98,
trevor etienne,,272,274.0,250.64,238.1,12,RB80,
joshua karty,,273,268.0,,,12,K14,
