"ID","Player","Team","Position","Status","Roster Status","Age","Salary","Contract","Score","Ros","+/-"
"*04nky*","Trevor Larnach","MIN","OF","LEX","Active","28","2","1st","44.57","39%","-3.3%"
"*0311c*","Devin Williams","NYY","RP","SML","Active","30","24","2nd","44.56","99%","+0.1%"
"*04pbq*","Geraldo Perdomo","ARI","SS","SHS","Active","25","6","1st","44.52","30%","-3%"
"*05t9l*","Max Muncy","ATH","2B,SS","YRK","Active","22","8","1st","44.03","27%","-1.6%"
"*01u75*","Salvador Perez","KC","C,1B","LEX","Active","34","16","2025","43.94","99%","0%"
"*03av1*","Jake Rogers","DET","C","LIL","Active","29","5","1st","43.82","14%","-2.6%"
"*04pst*","Jarren Duran","BOS","OF","RUM","Active","28","9","2027","43.6","100%","0%"
"*0310n*","Ryan McMahon","COL","3B","LRB","Active","30","18","1st","43.36","78%","-2.4%"
"*025ey*","Luke Jackson","TEX","RP","TSN","Active","33","14","1st","43.36","38%","+28.6%"
"*04tlv*","Bryan Abreu","HOU","RP","RUM","Active","27","1","2026","43.28","64%","-3.5%"
"*0429k*","Colin Holderman","PIT","RP","TSN","Active","29","5","2nd","43.27","19%","-2.2%"
"*062ob*","Jose Ferrer","WSH","RP","MFR","Active","25","2","1st","42.86","9%","-2.2%"
"*02w16*","Anthony Santander","TOR","OF","CFL","Active","30","37","1st","42.62","100%","0%"
"*04eor*","Cade Smith","CLE","RP","LEX","Active","25","2","1st","42.52","69%","-3.3%"
"*066n3*","Ryan Walker","SF","RP","SHS","Active","29","6","2nd","42.44","97%","-0.3%"
"*04prt*","Lawrence Butler","ATH","OF","WEQ","Active","24","1","2nd","42.13","99%","0%"
"*04ug5*","Emmanuel Clase","CLE","RP","WEQ","Active","27","44","2nd","41.74","99%","0%"
"*04ggr*","Jarred Kelenic","ATL","OF","TSN","Active","25","7","1st","41.68","27%","-6.6%"
"*04eej*","Gavin Sheets","SD","1B,OF","ECH","Active","28","1","1st","41.63","21%","+3.5%"
"*01spl*","Jurickson Profar","ATL","OF","MFR","Active","32","5","2nd","41.25","98%","-0.1%"
"*01usi*","Marcell Ozuna","ATL","UT","MFR","Active","34","6","2025","41.23","99%","-0.1%"
"*03pji*","Ke'Bryan Hayes","PIT","3B","NJ","Active","28","3","1st","41.11","46%","-3.5%"
"*04enz*","Robert Garcia","TEX","RP","SML","Active","28","5","1st","40.77","18%","-4.1%"
"*01svz*","Kenley Jansen","LAA","RP","CFL","Active","37","19","1st","40.76","77%","-1.6%"
"*04y4e*","Corbin Carroll","ARI","OF","LEX","Active","24","10","3rd","40.57","100%","0%"
"*0622t*","Jacob Wilson","ATH","SS","LRB","Active","23","13","2nd","40.48","64%","-3.7%"
"*04eqa*","Garrett Whitlock","BOS","SP","RUM","Active","28","1","1st","40.09","30%","-5.3%"
"*04nb2*","Riley Greene","DET","OF","KEN","Active","24","15","4th","39.94","99%","-0.1%"
"*04y95*","JJ Bleday","ATH","OF","RR","Active","27","10","2nd","39.94","85%","-1.4%"
"*04pse*","Brendan Donovan","STL","2B,OF","LRB","Active","28","5","2nd","39.7","93%","-0.3%"
"*04lgp*","Bobby Witt Jr.","KC","SS","KEN","Active","24","37","2027","39.19","100%","0%"
"*05rb1*","Sal Frelick","MIL","3B,OF","TSN","Active","24","8","3rd","38.97","51%","-4.7%"
"*04pxp*","Victor Vodnik","COL","RP","KEN","Active","25","1","1st","38.96","10%","-1.3%"
"*02mwm*","Matt Olson","ATL","1B","LIL","Active","31","45","1st","38.9","100%","0%"
"*025fx*","Tommy Pham","PIT","OF","WEQ","Active","37","9","1st","38.89","21%","+0.4%"
"*05udp*","Elly De La Cruz","CIN","SS","NJ","Active","23","10","3rd","38.59","100%","0%"
