Name,Team,POS,ADP,PA,mRBI,mR,mSB,mHR,mOBP,mSLG,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Sam Hilliard","COL","OF",613.219970703125,185.876,-10.495832409638405,-9.755709674711467,-1.9038148655000589,-6.55569986086054,-0.8505703060526291,-0.5051399104464286,-30.06676702720953,12.277191499022852,-16.789575528186678,"Sam Hilliard","17954",656541
"Alex Call","WSN","OF",737.1799926757812,245.93,-10.240059255439764,-8.69716420291846,-1.517730642639761,-7.020833721678043,-0.15562745000945682,-2.483025318892463,-30.114440591577953,12.277191499022852,-16.8372490925551,"Alex Call","19296",669743
"Curtis Mead","TBR","2B",678.510009765625,231.941,-9.785803758994293,-9.120820225945977,-2.3385318618699693,-7.230016103037911,-0.5197357736974537,-1.2054273232143489,-30.200335046759957,12.255253069645287,-16.94508197711467,"Curtis Mead","23986",678554
"Andy Pages","LAD","OF",413.17999267578125,178.02,-10.192320836342246,-9.802618214702113,-2.8773553788198134,-6.57073568678112,-0.6792720676749351,-0.14361757637781722,-30.265919760698047,12.277191499022852,-16.988728261675195,"Andy Pages","24816",681624
"Hyeseong Kim","LAD","2B/SS",379.7300109863281,335.016,-8.217835675156017,-6.770429010702164,0.4273178251482011,-7.7168306462622045,-0.5012363805073042,-3.1709855069654873,-25.949999394444976,7.947465494409344,-17.00253390003563,"Hyeseong Kim","sa3012639",808975
"Jose Iglesias","SDP","2B/3B",707.1599731445312,351.803,-7.80785861520156,-7.571588418937447,-2.2543192422315457,-7.2021166831358645,-2.107715581669346,-3.317105242255691,-30.260703783431453,12.255253069645287,-17.005450713786164,"Jose Iglesias","10231",578428
"Wenceel Pérez","DET","OF",531.02001953125,271.9,-9.411948855693934,-8.665099176420942,-1.421238181833151,-7.13047243194983,-1.4233941643215884,-2.26710110940199,-30.319253919621435,12.277191499022852,-17.042062420598583,"Wenceel Perez","22857",672761
"Mauricio Dubón","HOU","1B/2B/OF",483.0899963378906,317.439,-8.567811140266489,-7.604554686977813,-2.259328537878809,-7.22686408176974,-1.8981271831294855,-2.8136179508857975,-30.37030358090813,12.255253069645287,-17.11505051126284,"Mauricio Dubon","16530",643289
"Trent Grisham","NYY","OF",743.510009765625,212.051,-10.198978716750503,-9.173997943668523,-2.209980209201534,-6.392562297178166,-0.9448169307569589,-1.5931606340141682,-30.51349673156986,12.277191499022852,-17.236305232547004,"Trent Grisham","18564",663757
"Victor Scott II","STL","OF",401.17999267578125,265.971,-9.932196842792807,-8.545719890163207,1.01946856015659,-7.578823947684115,-2.2120230647061856,-3.4958826464734143,-30.745177831663145,12.277191499022852,-17.467986332640294,"Victor Scott II","31349",687363
"Brandon Drury","CHW","2B",678.1599731445312,257.92,-8.97100912006498,-8.924196327620056,-3.016469369640034,-5.938034493361928,-2.2395690572258475,-1.7065825913406576,-30.79586095925351,12.255253069645287,-17.54060788960822,"Brandon Drury","11615",592273
"Stuart Fairchild","CIN","OF",748.8200073242188,211.356,-10.333634338357891,-9.387356828874294,-1.2819524509481315,-6.833502429699901,-1.2874098631975879,-1.7294835696390376,-30.85333948071684,12.277191499022852,-17.57614798169399,"Stuart Fairchild","20321",656413
"Donovan Solano","SEA","1B/3B/DH",627.6699829101562,363.24,-8.08985800525269,-7.11920021080227,-2.805021793911838,-6.978026027202569,-1.121713486136483,-3.9333772319727993,-30.04719675527865,11.387504937233034,-17.65969181804562,"Donovan Solano","8623",456781
"Connor Joe","SDP","1B/OF",649.3099975585938,242.859,-9.806971256332629,-8.842718319802952,-2.6482179963296404,-6.915071109987467,-0.6278682381476134,-2.1303437295720684,-30.97119065017237,12.277191499022852,-17.69399915114952,"Connor Joe","16572",656582
"José Tena","WSN","3B",454.54998779296875,281.368,-8.921509830747594,-8.508718822489739,-1.5276919076261495,-6.756363315224408,-2.0666237595897945,-2.3069142992617153,-30.087821934939402,11.387504937233034,-17.70031699770637,"Jose Tena","23691",677588
"Luis Matos","SFG","OF",605.0499877929688,226.951,-9.913619314585404,-9.20633303339619,-2.3940629693712316,-6.85744044597965,-1.3341084417886888,-1.3327642389307777,-31.038328444051942,12.277191499022852,-17.76113694502909,"Luis Matos","26467",682641
"Will Benson","CIN","OF",642.8499755859375,175.399,-11.173805656946373,-9.807121673681177,-1.0540458438200189,-7.141248895926029,-0.5689324796807895,-1.299473880579666,-31.044628430634052,12.277191499022852,-17.7674369316112,"Will Benson","21853",666181
"Orelvis Martinez","TOR","2B",559.780029296875,209.318,-9.796104193603535,-9.39059964918744,-3.046095503317796,-5.974580797821603,-1.9311991390005456,-1.0068302810394618,-31.145409563970386,12.255253069645287,-17.890156494325097,"Orelvis Martinez","25967",682619
"Enrique Hernández","LAD","3B/OF",639.0399780273438,265.649,-8.811158618419986,-8.452406515901245,-2.9330868554171423,-6.3883453846470895,-1.8106002705711082,-1.9111683619145021,-30.30676600687107,11.387504937233034,-17.91926106963804,"Enrique Hernandez","10472",571771
"Derek Hill","MIA","OF",587.97998046875,254.046,-9.593776654265447,-9.043755999623116,-1.602429853441316,-7.02794694346127,-1.947839499141044,-2.098432754342947,-31.31418170427514,12.277191499022852,-18.036990205252287,"Derek Hill","16947",656537
"Anthony Rizzo",,"1B",712.8499755859375,239.567,-9.524344252301336,-9.013690334367618,-3.02422654044689,-6.424763731545134,-0.79636580709125,-1.8915908770064098,-30.674981542758637,11.556055179673542,-18.118926363085095,"Anthony Rizzo","3473",519203
"Sean Bouchard","COL","OF",734.27001953125,168.473,-11.131956233233444,-10.133141249212997,-2.3590269042224805,-7.319081674686355,-0.034463856331065565,-0.4607822180849274,-31.438452135771264,12.277191499022852,-18.161260636748416,"Sean Bouchard","21270",656248
"Blake Perkins","MIL","OF",620.6900024414062,234.351,-10.475190625855408,-9.17605159243009,-0.8135731734566551,-7.6040825672427905,-0.8426996231965922,-2.824095241253927,-31.73569282343546,12.277191499022852,-18.458501324412605,"Blake Perkins","19921",663368
"DJ LeMahieu","NYY","1B/3B",592.3599853515625,283.616,-9.502184769766803,-8.133935310729616,-2.717545976551016,-7.179413761986714,-0.4051221140619651,-3.1020975556420964,-31.040299488738203,11.387504937233034,-18.65279455150517,"DJ LeMahieu","9874",518934
"Gabriel Arias","CLE","3B",736.5800170898438,241.703,-9.62900911213463,-9.11060626965769,-1.6446506793855962,-6.870857913406461,-1.9572099199656314,-1.8382944511330999,-31.050628345683112,11.387504937233034,-18.66312340845008,"Gabriel Arias","22563",672356
